date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2020-12-06,24.3,32.4,17.2,41,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-45
2020-12-07,23.5,31.6,16.6,44,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-44
2020-12-08,23.7,31.8,16.7,46,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-43
2020-12-09,23.6,31.6,16.8,50,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-42
2020-12-10,23.8,31.1,17.5,48,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-41
2020-12-11,24.1,30.8,18.4,51,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-40
2020-12-12,24.7,30.5,19.4,52,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-39
2020-12-13,24.3,30.5,19.0,51,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-38
2020-12-14,24.2,30.3,19.6,58,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-37
2020-12-15,24.3,30.0,19.6,62,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-36
2020-12-16,24.5,30.7,19.5,62,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-35
2020-12-17,24.3,30.2,19.8,61,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-34
2020-12-18,23.1,29.6,17.9,63,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-33
2020-12-19,22.1,29.0,17.1,51,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-32
2020-12-20,20.8,29.3,14.3,47,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-31
2020-12-21,20.0,28.5,12.7,46,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-30
2020-12-22,20.3,28.9,13.4,45,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-29
2020-12-23,20.3,29.2,12.8,47,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-28
2020-12-24,20.8,28.7,14.2,46,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-27
2020-12-25,21.4,29.6,15.2,43,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-26
2020-12-26,21.2,29.7,14.5,47,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-25
2020-12-27,21.7,29.7,15.2,47,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-24
2020-12-28,22.0,30.0,15.0,47,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-23
2020-12-29,22.7,30.4,16.9,49,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-22
2020-12-30,22.3,29.6,15.6,53,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-21
2020-12-31,22.9,30.1,17.5,50,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-20
2021-01-01,22.6,30.0,17.3,52,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-19
2021-01-02,22.7,29.8,17.1,55,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-18
2021-01-03,22.8,30.0,16.6,57,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-17
2021-01-04,22.6,30.3,16.5,64,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-16
2021-01-05,23.5,30.5,17.3,62,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-15
2021-01-06,24.5,30.0,18.7,60,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-14
2021-01-07,24.4,28.7,21.8,67,2.3,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-13
2021-01-08,25.9,31.9,21.1,57,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-12
2021-01-09,25.5,32.3,20.5,49,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-11
2021-01-10,25.2,32.0,19.7,53,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-10
2021-01-11,25.7,33.0,19.6,53,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-9
2021-01-12,25.3,32.0,19.9,56,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-8
2021-01-13,23.7,30.3,19.1,61,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-7
2021-01-14,22.9,29.8,17.8,51,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-6
2021-01-15,22.0,30.1,15.6,48,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-5
2021-01-16,22.8,30.6,16.2,48,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-4
2021-01-17,23.8,31.5,17.5,45,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-3
2021-01-18,23.3,30.8,17.3,51,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-2
2021-01-19,24.5,31.2,17.8,58,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,-1
2021-01-20,25.1,31.8,19.9,56,0.0,Gadchiroli,Malaria,19.75907035,80.16228073,2021-01-20,0
