date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-28,33.5,39.6,27.8,30,0.3,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-45
2022-04-29,33.7,40.3,25.8,35,0.0,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-44
2022-04-30,33.8,40.5,26.9,34,0.0,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-43
2022-05-01,33.0,40.2,26.2,35,0.0,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-42
2022-05-02,32.0,39.4,24.0,39,0.0,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-41
2022-05-03,32.8,38.4,25.8,38,0.0,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-40
2022-05-04,33.7,39.6,28.2,36,0.0,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-39
2022-05-05,33.2,38.5,26.6,36,0.4,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-38
2022-05-06,33.2,39.8,25.6,37,0.0,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-37
2022-05-07,33.5,40.1,25.8,35,0.0,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-36
2022-05-08,34.0,38.6,29.2,32,0.0,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-35
2022-05-09,33.7,41.4,26.6,40,0.0,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-34
2022-05-10,32.5,40.3,25.9,45,0.0,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-33
2022-05-11,30.1,37.0,25.4,54,0.4,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-32
2022-05-12,28.2,35.6,24.6,66,0.5,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-31
2022-05-13,28.6,34.3,24.0,66,0.0,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-30
2022-05-14,29.8,37.9,24.3,58,0.0,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-29
2022-05-15,31.3,38.1,24.5,50,0.0,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-28
2022-05-16,31.6,38.7,25.4,51,0.2,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-27
2022-05-17,30.5,37.5,25.5,57,3.2,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-26
2022-05-18,29.3,33.3,25.8,62,0.0,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-25
2022-05-19,26.4,30.1,23.8,79,49.9,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-24
2022-05-20,23.6,25.6,22.1,88,33.8,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-23
2022-05-21,24.5,29.2,20.2,79,18.4,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-22
2022-05-22,26.5,31.8,22.4,75,0.1,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-21
2022-05-23,27.0,32.0,22.6,74,0.1,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-20
2022-05-24,27.5,33.2,23.0,72,0.0,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-19
2022-05-25,27.2,32.9,22.6,68,0.0,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-18
2022-05-26,26.9,32.5,22.1,67,0.0,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-17
2022-05-27,27.0,33.2,21.6,66,0.0,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-16
2022-05-28,27.8,34.6,21.8,58,0.0,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-15
2022-05-29,29.0,35.8,22.5,54,0.0,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-14
2022-05-30,29.8,36.4,23.1,53,0.0,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-13
2022-05-31,28.7,35.0,23.9,58,5.3,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-12
2022-06-01,27.5,33.7,23.1,68,21.5,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-11
2022-06-02,27.8,34.7,23.2,70,2.8,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-10
2022-06-03,28.7,35.9,22.3,63,0.0,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-9
2022-06-04,30.2,37.1,23.3,54,0.0,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-8
2022-06-05,29.7,38.3,24.1,61,9.1,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-7
2022-06-06,27.7,33.4,23.7,69,2.8,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-6
2022-06-07,28.1,33.6,24.2,67,10.1,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-5
2022-06-08,28.6,35.7,23.0,64,1.2,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-4
2022-06-09,28.1,33.9,23.4,67,0.6,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-3
2022-06-10,26.7,31.8,22.9,71,3.1,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-2
2022-06-11,26.0,32.9,22.6,74,6.7,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,-1
2022-06-12,26.8,31.1,22.9,69,0.1,Vijayapura,Chikungunya,16.666667,75.916667,2022-06-12,0
